City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
315,morada nova,-5.1067,-38.3725,91.96,38,83,5.91,BR,1675193545
316,san ramon,37.7799,-121.978,55.72,25,0,11.5,US,1675193545
317,aswan,24.0934,32.907,60.1,21,0,8.05,EG,1675193545
318,half moon bay,37.4636,-122.4286,58.8,24,0,6.91,US,1675193545
319,sao gabriel da cachoeira,-0.1303,-67.0892,87.6,70,40,5.75,BR,1675193546
320,itarema,-2.9248,-39.9167,82.11,73,92,14.23,BR,1675193546
321,tommot,58.9564,126.2925,-12.93,94,100,7.92,RU,1675193546
322,calama,-22.4667,-68.9333,72.09,43,40,20.71,CL,1675193499
323,seoul,37.5683,126.9778,33.4,97,100,4.61,KR,1675193547
324,brezice,45.9033,15.5911,36.81,79,21,2.3,SI,1675193548
325,miraflores,19.2167,-98.8083,79.97,19,2,5.41,MX,1675193548
326,okha,53.5739,142.9478,-17.66,96,20,8.55,RU,1675193402
327,krasnoarmeysk,51.0239,45.6969,21.56,91,100,5.97,RU,1675193549
328,yining,29.0361,114.5636,50.29,55,0,1.28,CN,1675193549
329,sitka,57.0531,-135.33,40.89,70,100,4.61,US,1675193550
330,mehamn,71.0357,27.8492,33.71,93,100,17.27,NO,1675193550
331,te anau,-45.4167,167.7167,61.48,92,100,0.89,NZ,1675193550
332,olafsvik,64.8945,-23.7142,31.23,76,100,26.57,IS,1675193550
333,gorontalo,0.5412,123.0595,74.14,97,94,4.09,ID,1675193551
334,klaksvik,62.2266,-6.589,40.12,95,100,12.15,FO,1675193551
335,bela palanka,43.2183,22.3111,36.09,96,95,6.24,RS,1675193551
336,kibala,9.1104,18.3463,78.75,47,0,0.0,TD,1675193552
337,kuala pilah,2.7389,102.2487,70.79,98,88,1.88,MY,1675193429
338,ust-kuyga,70.0167,135.6,-17.9,99,100,7.31,RU,1675193552
339,kalevala,65.2,31.1667,14.16,95,35,8.25,RU,1675193400
340,seymchan,62.8833,152.4333,-21.42,100,95,0.76,RU,1675193553
341,sorland,67.667,12.6934,35.46,58,78,14.67,NO,1675193553
342,dunedin,-45.8742,170.5036,63.81,99,100,4.0,NZ,1675193553
343,simao,22.7886,100.9748,51.85,82,4,1.72,CN,1675193554
344,sioux lookout,50.1001,-91.917,-2.13,60,20,8.05,CA,1675193554
345,khani,41.9563,42.9566,31.57,79,100,1.61,GE,1675193554
346,marienburg,54.0359,19.0266,38.84,97,100,17.02,PL,1675193555
347,qasigiannguit,68.8193,-51.1922,7.05,97,100,4.72,GL,1675193555
348,mnogovershinnyy,53.9353,139.9242,-18.76,90,19,5.37,RU,1675193556
349,katsuura,35.1333,140.3,42.13,67,16,1.5,JP,1675193556
350,campbell river,50.0163,-125.2446,35.46,100,100,6.91,CA,1675193556
351,ambad,19.6167,75.8,69.73,52,38,13.15,IN,1675193557
352,kavieng,-2.5744,150.7967,81.66,75,100,7.92,PG,1675193557
353,kampene,-3.6,26.6667,64.98,98,100,1.03,CD,1675193558
354,boueni,-12.9025,45.0761,82.38,75,89,9.28,YT,1675193558
355,cabra,37.4725,-4.4421,44.29,50,0,4.27,ES,1675193558
356,amalapuram,16.5833,82.0167,74.75,67,96,5.91,IN,1675193559
357,hobyo,5.3505,48.5268,76.32,72,1,17.85,SO,1675193559
358,jaisalmer,26.9147,70.9181,59.14,36,0,8.08,IN,1675193559
359,khudumelapye,-23.8833,24.75,70.0,72,98,5.59,BW,1675193560
360,ayakudi,10.45,77.55,72.68,72,89,2.98,IN,1675193560
361,kununurra,-15.7667,128.7333,78.78,94,75,0.0,AU,1675193560
362,fort nelson,58.8053,-122.7002,7.95,80,100,4.61,CA,1675193560
363,itoman,26.1247,127.6694,62.62,67,75,5.75,JP,1675193561
364,khawhai,23.3667,93.1167,46.26,47,92,2.51,IN,1675193561
365,rongcheng,30.634,117.8517,49.3,57,0,1.99,CN,1675193561
366,fortuna,40.5982,-124.1573,53.98,53,86,3.0,US,1675193562
367,hatton,6.8916,80.5955,60.71,93,100,1.5,LK,1675193563
368,kota kinabalu,5.9749,116.0724,75.18,100,20,2.3,MY,1675193563
